keywords,answer_en,answer_hi,answer_ta
"general greeting,agriculture help","👋 Hello! I’m your AgriBot — ask me about crops, soil, pests, irrigation or fertilizers.","👋 नमस्ते! मैं आपका एग्रीबॉट हूँ — फसल, मिट्टी, कीट या सिंचाई के बारे में पूछें।","👋 வணக்கம்! நான் உங்கள் அக்கிரிபாட் — பயிர்கள், மண், பூச்சிகள் அல்லது பாசனம் பற்றி கேளுங்கள்."
"mango,fruit care",🥭 Mango trees need regular watering during flowering and spraying copper fungicide to prevent anthracnose.,🥭 आम के पेड़ों को फूल आने पर नियमित सिंचाई और एन्थ्राक्नोज़ से बचाव के लिए कॉपर फफूंदनाशक की ज़रूरत होती है।,🥭 மாம்பழ மரத்திற்கு மலர்ச்சி காலத்தில் நீர்ப்பாய்ச்சி மற்றும் ஆன்த்ராக்னோஸ் நோயைத் தவிர்க்க காப்பர் பூஞ்சைநாசினி தேவை.
"banana,fruit care",🍌 Banana plants need potassium-rich fertilizer and avoid waterlogging to prevent root rot.,🍌 केले के पौधों को पोटाश युक्त खाद की आवश्यकता होती है और जलभराव से बचाना चाहिए।,🍌 வாழை மரத்திற்கு பொட்டாசியம் நிறைந்த உரம் தேவை மற்றும் நீர் தேங்கல் தவிர்க்கவும்.
"tomato,vegetable care",🍅 Tomato plants need full sunlight and spraying neem oil to prevent pests and blight.,🍅 टमाटर के पौधों को पूरी धूप और नीम तेल का छिड़काव चाहिए ताकि कीट और झुलसा से बचाव हो।,🍅 தக்காளி செடிக்கு முழு வெயில் தேவை மற்றும் வேப்பெண்ணெய் தெளிப்பு பூச்சி மற்றும் வாடை நோயைத் தவிர்க்கும்.
"brinjal,vegetable care",🍆 Brinjal plants suffer from shoot borer; use pheromone traps and neem spray.,🍆 बैंगन के पौधों में शूट बोरर लगता है; फेरोमोन ट्रैप और नीम स्प्रे करें।,🍆 கத்தரிக்காய் செடிகள் தண்டு துளைப்பூச்சியால் பாதிக்கப்படும்; பெரோமோன் வலை மற்றும் வேப்பெண்ணெய் தெளிக்கவும்.
"coconut,tree pest control",🥥 Coconut red palm weevil can be controlled using pheromone traps and cleaning leaf bases.,🥥 नारियल के लाल ताड़ भृंग को फेरोमोन ट्रैप और पत्तों के आधार की सफाई से नियंत्रित किया जा सकता है।,🥥 தென்னை மர சிவப்பு வண்டு பெரோமோன் வலை மற்றும் இலை அடிப்பகுதி சுத்தம் மூலம் கட்டுப்படுத்தலாம்.
"mango pest,fruit fly",🐛 Mango fruit fly attacks ripening fruits; collect and destroy fallen fruits and use methyl eugenol traps.,🐛 आम की मक्खी पके फलों पर हमला करती है; गिरे फलों को नष्ट करें और मिथाइल यूजेनॉल ट्रैप लगाएँ।,🐛 மாம்பழ ஈ பழுப்பும் பழங்களைத் தாக்கும்; விழுந்த பழங்களை அகற்றி மெத்தில் யூஜெனால் வலை அமைக்கவும்.
"banana pest,aphids",🪲 Aphids attack banana leaves; spray neem oil or imidacloprid as needed.,🪲 केले की पत्तियों पर एफिड्स हमला करते हैं; नीम तेल या इमिडाक्लोप्रिड छिड़कें।,🪲 வாழை இலைகளில் அஃபிட்ஸ் தாக்கம் ஏற்படும்; வேப்பெண்ணெய் அல்லது இமிடாக்ளோப்ரிட் தெளிக்கவும்.
"tomato pest,fruit borer",🍅 Tomato fruit borer damages fruits; use neem-based pesticide or Spinosad spray.,🍅 टमाटर फल बोरर फलों को नुकसान पहुँचाता है; नीम आधारित कीटनाशक या स्पिनोसैड स्प्रे करें।,🍅 தக்காளி பழ துளைப்பூச்சி பழங்களை சேதப்படுத்தும்; வேப்பெண்ணெய் அடிப்படையிலான பூச்சிக்கொல்லி அல்லது ஸ்பினோசாட் தெளிக்கவும்.
"citrus pest,leaf miner",🍊 Leaf miner tunnels citrus leaves; prune affected leaves and spray neem oil weekly.,🍊 पत्तियाँ माइनर खट्टे पेड़ों की पत्तियों में छेद बनाता है; संक्रमित पत्तियाँ हटाएँ और नीम तेल छिड़कें।,🍊 இலை துளைப்பூச்சி சிட்ரஸ் இலைகளை துளைக்கும்; பாதிக்கப்பட்ட இலைகளை வெட்டி வாரம் ஒருமுறை வேப்பெண்ணெய் தெளிக்கவும்.
