keywords,answer_en,answer_ta,answer_hi,answer_te,answer_ml
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"தக்காளி விதைப்பதை வெப்ப பருவ தொடக்கத்தில் செய்யுங்கள்: மிதமான பகுதிகளில் வசந்தத்தில், கடைசி பனியிலிருந்து பிறகு விதைக்க வேண்டும். 4–6 உண்மையான இலைகள் இருக்கும் போது மாற்று நட்டு; 25–30°C பகல் வெப்பநிலையை பராமரிக்கவும்.",टमाटर की बुवाई गर्म मौसम की शुरुआत में करें: समशीतोष्ण क्षेत्रों में वसंत में और अंतिम ठंढ के बाद रोपण करें। 4–6 असली पत्तियों वाले पौधों को प्रत्यारोपित करें; दिन का तापमान 25–30°C रखें।,టమేటాను వేడి కాలం ప్రారంభంలో నాటండి; సమశీతోష్ణ ప్రాంతాల్లో వసంత కాలంలో మరియు చివరి మంచు తర్వాత. 4–6 నిజమైన ఆకులు వచ్చినప్పుడు మార్పు నాటండి; 25–30°C ఉష్ణోగ్రత ఉంచండి.,തക്കാളി വിതയ്‌പ്പ് ചൂട് കാലത്തിന്റെ തുടക്കത്തിൽ ചെയ്യണം; സമശീതോഷ്ണ പ്രദേശങ്ങളിൽ വസന്തത്തിൽ, അവസാന തണുപ്പ് കഴിഞ്ഞ്. 4–6 യഥാർത്ഥ ഇലയുള്ളപ്പോൾ മാറ്റി നടുക; 25–30°C താപനില നിലനിർത്തുക.
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",தக்காளிக்கு 25–30°C பகல் வெப்பநிலை மற்றும் 18–20°C இரவு வெப்பநிலை பிடிக்கும். பனி மற்றும் நீண்ட மழையை தவிர்க்கவும்; இது மலர்ச்சி சிதைந்தல் மற்றும் நோய்களை உண்டாக்கும்.,टमाटर को 25–30°C दिन और 18–20°C रात के तापमान पसंद हैं। ओलावृष्टि और लगातार भारी बारिश से बचें।,టమోటాకు 25–30°C పగటి వేడి, 18–20°C రాత్రి చల్లదనం ఇష్టం. మంచు మరియు భారీ వర్షాలను నివారించండి.,തക്കാളിക്ക് 25–30°C പകൽ ചൂടും 18–20°C രാത്രി തണുപ്പും ഇഷ്ടമാണ്. മഞ്ഞും ശക്തമായ മഴയും ഒഴിവാക്കുക.
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,தக்காளிக்கு மண் சமமாக ஈரமாக இருக்க நீர்ப்பாசனம் செய்யுங்கள்; நீர் தேக்கம் தவிர்க்கவும். டிரிப் பாசனம் பயன்படுத்தவும்.,टमाटर को नियमित रूप से सींचें ताकि मिट्टी नम रहे; जलभराव न होने दें। ड्रिप सिंचाई उपयोगी है।,టమోటాకు నేల తడిగా ఉండేలా తరచుగా నీరు ఇవ్వండి; నీరు నిల్వ లేకుండా చూసుకోండి. డ్రిప్ వ్యవస్థ మంచిది.,തക്കാളിക്ക് മണ്ണ് ഒത്തിരി നനവോടെ നിലനിർത്താൻ ക്രമമായി ജലസേചനം ചെയ്യുക; വെള്ളം നിൽക്കുന്നത് ഒഴിവാക്കുക. ഡ്രിപ്പ് ഉപയോഗിക്കുക.
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",மண் சோதனை அடிப்படையில் சமநிலை உரம் பயன்படுத்தவும். அறுவடைக்கு அருகில் அதிக நைட்ரஜனை தவிர்க்கவும்; கம்போஸ்ட் தரத்தை உயர்த்தும்.,मिट्टी परीक्षण के आधार पर संतुलित उर्वरक दें; कटाई के पास अधिक नाइट्रोजन से बचें; जैविक खाद उपयोगी है।,మట్టి పరీక్ష ఆధారంగా సమతుల్య ఎరువు ఇవ్వండి; అధిక నైట్రోజన్ ను నివారించండి; ఆర్గానిక్ కంపోస్ట్ ఉపయోగపడుతుంది.,മണ്ണ് പരിശോധന അടിസ്ഥാനപ്പെടുത്തി സന്തുലിത വളം നൽകുക; വിളവെടുപ്പിന് അടുത്ത് നൈട്രജൻ കൂടുതലാകുന്നത് ഒഴിവാക്കുക; കമ്പോസ്റ്റ് ഗുണമേന്മ വർധിപ്പിക്കുന്നു.
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use IPM: monitoring, pheromone traps, neem oil and beneficial insects; remove infested plants.","பொதுவான பூச்சிகள்: பழச்சிவப்பு, வெள்ளை ஈ, இலை சுருங்கல். IPM பின்பற்றவும்.","आम कीट: फल छेदक, सफेद मक्खी, पत्ती खनन। IPM अपनाएँ।",సాధారణ పురుగులు: ఫ్రూట్ బోరర్, వైట్‌ఫ్లై, లీఫ్ మైనర్. IPM పాటించండి.,സാധാരണ കീടങ്ങൾ: ഫ്രൂട്ട് ബോറർ, വൈറ്റ്ഫ്ലൈ, ലീഫ് മൈനർ. IPM പ്രയോഗിക്കുക.
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow.,வெஞ்ஞல் வெப்ப பருவத்தில் வளர்க்கவும்; 6–8 வாரங்களுக்கு பிறகு மாற்று நட்டு.,बैंगन गर्म मौसम में लगाएँ; 6–8 सप्ताह बाद प्रत्यारोपण करें।,వంకాయను వేడి కాలంలో నాటండి; 6–8 వారాలకు మార్పు నాటు చేయండి.,വഴുതന ചൂടുകാലത്ത് നടുക; 6–8 ആഴ്ചയ്ക്ക് ശേഷം മാറ്റിനടുക.
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious; use pheromone traps and remove infested fruits.",வெஞ்ஞலில் பழச்சிவப்பு பிரச்சனை அதிகம்.,बैंगन में फल छेदक गंभीर समस्या है।,వంకాయ ఫ్రూట్ బోరర్ పెద్ద సమస్య; ఫెరోమోన్ ట్రాప్స్ ఉపయోగించండి.,വഴുതന ഫ്രൂട്ട് ബോറർ പ്രധാന പ്രശ്നം; ഫെറോമോൺ ട്രാപ്പുകൾ ഉപയോഗിക്കുക.
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow after last frost and maintain spacing.,வெண்டை வெப்பத்தில் நல்ல வளர்ச்சி.,भिंडी गर्म मौसम में अच्छी होती है।,బెండకాయ వేడి వాతావరణంలో బాగా పెరుగుతుంది.,വെണ്ട ചൂടുകാലത്ത് നന്നായി വളരും.
"okra pests,okra disease,lady finger pests",Common pests: aphids, fruit borers. Use neem spray.,பொதுவான பூச்சிகள்: அஃபிட்ஸ், சிவப்பு.,आम कीट: एफिड्स, फल छेदक।,సాధారణ పురుగులు: ఆఫిడ్స్, బోరర్లు.,സാധാരണ കീടങ്ങൾ: ആഫിഡ്സ്, ഫ്രൂട്ട് ബോറർ.
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons using certified tubers; hill soil after emergence.",குளிர் காலத்தில் சான்றளிக்கப்பட்ட விதைகள் பயன்படுத்தவும்.,आलू ठंड में लगाएँ; प्रमाणित बीज लें।,బంగాళదుంప చల్లటి కాలంలో నాటండి.,ഉരുളക്കിഴങ്ങ് തണുത്ത കാലത്ത് നടുക.
