keywords,answer_en,answer_hi,answer_ta,answer_te,answer_ml
"general greeting,agriculture help","👋 Hello! I’m your AgriBot — ask me about crops, soil, pests, irrigation or fertilizers.","👋 नमस्ते! मैं आपका एग्रीबॉट हूँ — फसल, मिट्टी, कीट या सिंचाई के बारे में पूछें।","👋 வணக்கம்! நான் உங்கள் அக்கிரிபாட் — பயிர்கள், மண், பூச்சிகள் அல்லது பாசனம் பற்றி கேளுங்கள்.","👋 హాయ్! నేను మీ అగ్రిబాట్ — పంటలు, నేల, పురుగులు, నీరుపారుదల లేదా ఎరువుల గురించి అడగండి.","👋 നമസ്കാരം! ഞാന്‍ നിങ്ങളുടെ അഗ്രിബോട്ട് — വിള, മണ്ണ്, കീടങ്ങള്‍, നിരീക്കരണം അല്ലെങ്കില്‍ വളങ്ങള്‍ സംബന്ധിച്ച് ചോദിക്കാം."
"mango,fruit care","🥭 Mango trees need regular watering during flowering and spraying copper fungicide to prevent anthracnose.","🥭 आम के पेड़ों को फूल आने पर नियमित सिंचाई और एन्थ्राक्नोज़ से बचाव के लिए कॉपर फफूंदनाशक की ज़रूरत होती है।","🥭 மாம்பழ மரத்திற்கு மலர்ச்சி காலத்தில் நீர்ப்பாய்ச்சி மற்றும் ஆன்த்ராக்னோஸ் நோயைத் தவிர்க்க காப்பர் பூஞ்சைநாசினி தேவை.","🥭 మామిడి చెట్లకు పుష్పించే కాలంలో క్రమం తప్పని నీరుపారుదల మరియు ఆంత్రాక్నోస్ నివారించడానికి కాపర్ ఫంగిసైడ్ స్ప్రే అవసరం.","🥭 മാമ്പഴ മരങ്ങൾക്ക് പൂക്കാലത്ത് നിയന്ത്രിത ജലസേചനവും ആന്ത്രാക്ക്‌നോസ് ഒഴിവാക്കാൻ താമ്ര ഫംഗിസൈഡ് തളിക്കലും ആവശ്യമാണ്."
"banana,fruit care","🍌 Banana plants need potassium-rich fertilizer and avoid waterlogging to prevent root rot.","🍌 केले के पौधों को पोटाश युक्त खाद की आवश्यकता होती है और जलभराव से बचाना चाहिए।","🍌 வாழை மரத்திற்கு பொட்டாசியம் நிறைந்த உரம் தேவை மற்றும் நீர் தேங்கல் தவிர்க்கவும்.","🍌 అరటి మొక్కలకు పొటాషియం అధికంగా ఉన్న ఎరువు అవసరం మరియు నీరు నిల్వ ఉండకుండా చూడాలి.","🍌 വാഴമരങ്ങൾക്ക് പൊട്ടാഷ് സമ്പന്നമായ വളം ആവശ്യമാണ്, കൂടാതെ വെള്ളം നില്‍ക്കുന്നത് ഒഴിവാക്കണം."
"tomato,vegetable care","🍅 Tomato plants need full sunlight and spraying neem oil to prevent pests and blight.","🍅 टमाटर के पौधों को पूरी धूप और नीम तेल का छिड़काव चाहिए ताकि कीट और झुलसा से बचाव हो।","🍅 தக்காளி செடிக்கு முழு வெயில் தேவை மற்றும் வேப்பெண்ணெய் தெளிப்பு பூச்சி மற்றும் வாடை நோயைத் தவிர்க்கும்.","🍅 టమాటా మొక్కలకు పూర్తిగా ఎండ అవసరం మరియు కీటకాలు, బ్లైట్ నివారించడానికి నేమ్ ఆయిల్ స్ప్రే చేయాలి.","🍅 തക്കാളി ചെടികൾക്ക് പൂർണ്ണ സൂര്യപ്രകാശവും കീടങ്ങളും ബ്ലൈറ്റ് രോഗവും ഒഴിവാക്കാൻ വേപ്പെണ്ണ തളിക്കലും ആവശ്യമാണ്."
"brinjal,vegetable care","🍆 Brinjal plants suffer from shoot borer; use pheromone traps and neem spray.","🍆 बैंगन के पौधों में शूट बोरर लगता है; फेरोमोन ट्रैप और नीम स्प्रे करें।","🍆 கத்தரிக்காய் செடிகள் தண்டு துளைப்பூச்சியால் பாதிக்கப்படும்; பெரோமோன் வலை மற்றும் வேப்பெண்ணெய் தெளிக்கவும்.","🍆 వంకాయ మొక్కలకు షూట్ బోరర్ దాడి చేస్తుంది; ఫెరోమోన్ ట్రాప్స్ మరియు నేమ్ స్ప్రే ఉపయోగించండి.","🍆 വഴുതന ചെടികളെ ഷൂട്ട് ബോറർ ആക്രമിക്കും; ഫെറോമോൺ കുടകളും വേപ്പെണ്ണ തളിക്കലും ഉപയോഗിക്കുക."
"coconut,tree pest control","🥥 Coconut red palm weevil can be controlled using pheromone traps and cleaning leaf bases.","🥥 नारियल के लाल ताड़ भृंग को फेरोमोन ट्रैप और पत्तों के आधार की सफाई से नियंत्रित किया जा सकता है।","🥥 தென்னை மர சிவப்பு வண்டு பெரோமோன் வலை மற்றும் இலை அடிப்பகுதி சுத்தம் மூலம் கட்டுப்படுத்தலாம்.","🥥 కొబ్బరి ఎర్ర పామ్ వీవిల్‌ను ఫెరోమోన్ ట్రాప్స్ మరియు ఆకుల అడుగుభాగం శుభ్రం చేయడం ద్వారా నియంత్రించవచ్చు.","🥥 തേങ്ങാ റെഡ് പാല്മ് വീയിൽ ഫെറോമോൺ കുടകളും ഇലയുടെ അടിഭാഗം ശുചീകരണവും വഴി നിയന്ത്രിക്കാം."
"mango pest,fruit fly","🐛 Mango fruit fly attacks ripening fruits; collect and destroy fallen fruits and use methyl eugenol traps.","🐛 आम की मक्खी पके फलों पर हमला करती है; गिरे फलों को नष्ट करें और मिथाइल यूजेनॉल ट्रैप लगाएँ।","🐛 மாம்பழ ஈ பழுப்பும் பழங்களைத் தாக்கும்; விழுந்த பழங்களை அகற்றி மெத்தில் யூஜெனால் வலை அமைக்கவும்.","🐛 మామిడి ఫలం ఈగ పండ్లను దాడి చేస్తుంది; పడిపోయిన పండ్లు తొలగించి మెథిల్ యూజెనాల్ ట్రాప్స్ వాడండి.","🐛 മാമ്പഴ ഈ പാകം വരുന്ന പഴങ്ങളെ ആക്രമിക്കും; വീണ പഴങ്ങൾ നീക്കുകയും മെത്തിൽ യൂജനോൾ കുടകൾ ഉപയോഗിക്കുകയും ചെയ്യുക."
"banana pest,aphids","🪲 Aphids attack banana leaves; spray neem oil or imidacloprid as needed.","🪲 केले की पत्तियों पर एफिड्स हमला करते हैं; नीम तेल या इमिडाक्लोप्रिड छिड़कें।","🪲 வாழை இலைகளில் அஃபிட்ஸ் தாக்கம் ஏற்படும்; வேப்பெண்ணெய் அல்லது இமிடாக்ளோப்ரிட் தெளிக்கவும்.","🪲 అరటి ఆకులపై ఆఫిడ్స్ దాడి చేస్తాయి; నేమ్ ఆయిల్ లేదా ఇమిడాక్లోప్రిడ్ స్ప్రే చేయండి.","🪲 വാഴ ഇലകളിൽ ആഫിഡ്സ് ആക്രമിക്കും; വേപ്പെണ്ണ അല്ലെങ്കിൽ ഇമിഡാക്ലോപ്രിഡ് തളിക്കണം."
"tomato pest,fruit borer","🍅 Tomato fruit borer damages fruits; use neem-based pesticide or Spinosad spray.","🍅 टमाटर फल बोरर फलों को नुकसान पहुँचाता है; नीम आधारित कीटनाशक या स्पिनोसैड स्प्रे करें।","🍅 தக்காளி பழ துளைப்பூச்சி பழங்களை சேதப்படுத்தும்; வேப்பெண்ணெய் அடிப்படையிலான பூச்சிக்கொல்லி அல்லது ஸ்பினோசாட் தெளிக்கவும்.","🍅 టమాటా ఫ్రూట్ బోరర్ పండ్లను నాశనం చేస్తుంది; నేమ్ ఆధారిత పురుగుమందు లేదా స్పినోసాడ్ స్ప్రే చేయండి.","🍅 തക്കാളി പഴ തുളച്ചുപൊക്കുന്ന കീടം പഴം നശിപ്പിക്കും; വേപ്പെണ്ണ അടിസ്ഥാനത്തിലെ കീടനാശിനി അല്ലെങ്കിൽ സ്പിനോസാഡ് ഉപയോഗിക്കുക."
"citrus pest,leaf miner","🍊 Leaf miner tunnels citrus leaves; prune affected leaves and spray neem oil weekly.","🍊 पत्तियाँ माइनर खट्टे पेड़ों की पत्तियों में छेद बनाता है; संक्रमित पत्तियाँ हटाएँ और नीम तेल छिड़कें।","🍊 இலை துளைப்பூச்சி சிட்ரஸ் இலைகளை துளைக்கும்; பாதிக்கப்பட்ட இலைகளை வெட்டி வாரம் ஒருமுறை வேப்பெண்ணெய் தெளிக்கவும்.","🍊 సిట్రస్ ఆకులలో లీఫ్ మైనర్ గుంతలు వేస్తుంది; దెబ్బతిన్న ఆకులు తీసివేసి వారానికి ఒకసారి నేమ్ ఆయిల్ స్ప్రే చేయండి.","🍊 സിട്രസ് ഇലകളിൽ ലീഫ് മൈനർ തുരന്നുവരും; ബാധിത ഇലകൾ വെട്ടി മാറ്റുകയും ആഴ്ചയിൽ ഒരിക്കൽ വേപ്പെണ്ണ തളിക്കയും ചെയ്യുക."
