keywords,answer_en,answer_hi,answer_ta,answer_te,answer_ml
"fruit,vegetable,difference,types","🍎 Fruits usually develop from flowers and contain seeds, while 🥦 vegetables are edible parts of plants such as roots, stems, or leaves.","🍎 फल फूलों से विकसित होते हैं और उनमें बीज होते हैं, जबकि 🥦 सब्जियाँ पौधों के खाने योग्य भाग होती हैं जैसे जड़ें, तना या पत्ते।","🍎 பழங்கள் மலர்களிலிருந்து உருவாகி விதைகளை கொண்டிருக்கும், ஆனால் 🥦 காய்கறிகள் தாவரத்தின் உணவாக உகந்த வேர்கள், தண்டு அல்லது இலைகள் ஆகும்.","🍎 పండ్లు పువ్వుల నుండి అభివృద్ధి చెంది విత్తనాలను కలిగి ఉంటాయి. 🥦 కూరగాయలు మొక్కల తినదగిన భాగాలు — వేరు, కొమ్మ, ఆకు వంటి వాటి నుంచి వస్తాయి.","🍎 ഫലങ്ങൾ പൂവിൽ നിന്ന് രൂപപ്പെട്ടതും വിത്തുകൾ ഉള്ളതുമാണ്. 🥦 പച്ചക്കറികൾ വേരുകൾ, തണ്ട്, ഇലകൾ പോലുള്ള സസ്യത്തിന്റെ ഭക്ഷ്യഭാഗങ്ങളാണ്."
"tomato,is tomato fruit or vegetable","🍅 Tomato is technically a fruit (it develops from a flower and has seeds) but commonly used as a vegetable in cooking.","🍅 टमाटर तकनीकी रूप से फल है लेकिन आमतौर पर सब्ज़ी की तरह इस्तेमाल किया जाता है।","🍅 தக்காளி தொழில்நுட்ப ரீதியாக ஒரு பழம், ஆனால் சமையலில் காய்கறியாக பயன்படுத்தப்படுகிறது.","🍅 టమాటా సాంకేతికంగా ఒక పండు, కానీ వంటలో కూరగాయలా ఉపయోగిస్తారు.","🍅 തക്കാളി സാങ്കേതികമായി ഒരു പഴമാണ്, പക്ഷേ പാചകത്തിൽ സാധാരണയായി പച്ചക്കറിയായി ഉപയോഗിക്കുന്നു."
"banana,banana plant,banana tree","🍌 Banana is a fruit rich in potassium. The banana plant is technically a herb, not a tree!","🍌 केला पोटैशियम से भरपूर फल है। केले का पौधा वास्तव में एक जड़ी-बूटी है, पेड़ नहीं!","🍌 வாழைப்பழம் பொட்டாசியம் நிறைந்தது. வாழைத் தாவரம் ஒரு மூலிகை, மரம் அல்ல!","🍌 అరటి పండు పొటాషియం ఎక్కువగా ఉంటుంది. అరటి చెట్టు నిజానికి చెట్టు కాదు — ఒక ఔషధ మొక్క!","🍌 വാഴപ്പഴം പൊട്ടാസ്യം സമൃദ്ധമാണ്. വാഴച്ചെടി സാങ്കേതികമായി ഒരു ഔഷധസസ്യം ആണ്, മരം അല്ല!"
"mango,mango season,king of fruits","🥭 Mango is called the King of Fruits! It’s a tropical fruit rich in Vitamin A and C, mostly available in summer.","🥭 आम को फलों का राजा कहा जाता है!","🥭 மாம்பழம் 'பழங்களின் ராஜா'!","🥭 మామిడి ‘పండ్ల రాజు’! వేసవిలో ఎక్కువగా లభిస్తుంది.","🥭 മാമ്പഴം 'ഫലങ്ങളുടെ രാജാവ്'! ഇത് സാധാരണയായി വേനലില്‍ ലഭിക്കുന്നു."
"carrot,benefits of carrot,vitamin a","🥕 Carrot is rich in Vitamin A and good for eyesight.","🥕 गाजर विटामिन A से भरपूर होती है.","🥕 கேரட் வைட்டமின் A நிறைந்தது.","🥕 క్యారట్ విటమిన్ A ఎక్కువగా కలిగి ఉంటుంది — కళ్లకు మంచిది.","🥕 കാരറ്റ് വിറ്റാമിന് A അധികമുണ്ട് — കണ്ണുകളുടെ ആരോഗ്യത്തിന് നല്ലത്."
"potato,tuber crop,potato plant","🥔 Potato is a tuber crop.","🥔 आलू एक कंद फसल है।","🥔 உருளைக்கிழங்கு ஒரு கிழங்கு பயிர்.","🥔 బంగాళాదుంప నేలలో పెరిగే కంద పంట.","🥔 ഉരുളക്കിഴങ്ങ് നിലത്തിനടിയിൽ വളരുന്ന കിഴങ്ങുവർഗ്ഗമാണ്."
"onion,garlic,allium","🧅 Onion and 🧄 garlic belong to the Allium family.","🧅 प्याज़ और 🧄 लहसुन एलियम परिवार से।","🧅 வெங்காயமும் 🧄 பூண்டும் அலியம் குடும்பம்.","🧅 ఉల్లిపాయ, వెల్లుల్లి రెండూ అలియం కుటుంబానికి చెందినవి.","🧅 സവാളയും വെളുത്തുള്ളിയും അല്യം കുടുംബത്തിൽപ്പെട്ടവയാണ്."
"spinach,leafy vegetables,greens","🥬 Spinach and other leafy vegetables are rich in iron.","🥬 पालक और अन्य हरी सब्जियाँ लौह से भरपूर।","🥬 கீரைகள் இரும்புச் சத்து நிறைந்தவை.","🥬 పాలకూర, ఇతర ఆకుకూరల్లో ఇనుము ఎక్కువగా ఉంటుంది.","🥬 ചേറയും മറ്റു ഇലക്കറികളും ഇരുമ്പ് ധാരാളമുണ്ട്."
"brinjal,eggplant,baingan","🍆 Brinjal grows well in warm climates.","🍆 बैंगन गर्म जलवायु में उगता है।","🍆 கத்தரிக்காய் சூடான காலநிலையில் வளரும்.","🍆 వంకాయ వేడి ప్రాంతాల్లో బాగా పెరుగుతుంది.","🍆 വാഴുതനങ്ങ ചൂടുള്ള കാലാവസ്ഥയിൽ നന്നായി വളരും."
"cucumber,summer vegetable,hydration","🥒 Cucumber keeps the body cool.","🥒 खीरा शरीर को ठंडा रखता है।","🥒 வெள்ளரிக்காய் உடலை குளிர்விக்கிறது.","🥒 దోసకాయ వేసవిలో శరీరాన్ని చల్లగా ఉంచుతుంది.","🥒 വെള്ളരിക്ക വേനലിൽ ശരീരം തണുപ്പിക്കുന്നു."
